title,type,genres,year,Genres1,Genres2,Genres3
Yellowbrickroad,movie,"[""Horror"",""Thriller""]",2010,Horror,Thriller,
Earthling,movie,"[""Sci-Fi""]",2010,Sci-Fi,,
Lost Boys: The Thirst,movie,"[""Action"",""Adventure"",""Comedy""]",2010,Action,Adventure,Comedy
Aurora,movie,"[""Drama""]",2010,Drama,,
Hesher,movie,"[""Drama""]",2010,Drama,,
True Grit,movie,"[""Adventure"",""Drama"",""Western""]",2010,Adventure,Drama,Western
The Moth Diaries,movie,"[""Drama"",""Horror"",""Mystery""]",2011,Drama,Horror,Mystery
Star Trek Into Darkness,movie,"[""Action"",""Adventure"",""Sci-Fi""]",2013,Action,Adventure,Sci-Fi
Symbol,movie,"[""Comedy"",""Fantasy""]",2009,Comedy,Fantasy,
Son of Babylon,movie,"[""Drama""]",2009,Drama,,
The Botany of Desire,movie,"[""Documentary""]",2009,Documentary,,
Barney's Version,movie,"[""Comedy"",""Drama""]",2010,Comedy,Drama,
The Infidel,movie,"[""Comedy"",""Drama""]",2010,Comedy,Drama,
The Pirates! Band of Misfits,movie,"[""Animation"",""Adventure"",""Comedy""]",2012,Animation,Adventure,Comedy
Louis Theroux: A Place for Paedophiles,movie,"[""Documentary""]",2009,Documentary,,
R,movie,"[""Drama""]",2010,Drama,,
Charlie St. Cloud,movie,"[""Drama"",""Fantasy"",""Romance""]",2010,Drama,Fantasy,Romance
